Slot  #,Requester    ID,Responder  ID,Pii ,Chan.,Antenna  Mode,Req.  Data,Rsp.  Data,Type,Sleep,Manual  Time  (ms),Minimum  Time  (ms)
0,101,102,5,0,Antenna  B,1,1,Data,6,4500,0
1,304,104,5,4,Antenna  B,1,1,Range,1,10500,0
2,310,104,5,4,Antenna  B,1,1,Range,1,10500,0
3,303,104,5,4,Antenna  B,1,1,Range,1,10500,0
4,309,104,5,4,Antenna  B,1,1,Range,1,10500,0
5,302,104,5,4,Antenna  B,1,1,Range,1,10500,0
6,308,104,5,4,Antenna  B,1,1,Range,1,10500,0
7,301,104,5,4,Antenna  B,1,1,Range,1,10500,0
8,307,104,5,4,Antenna  B,1,1,Range,1,10500,0
9,306,104,5,4,Antenna  B,1,1,Range,1,10500,0
10,302,104,5,4,Antenna  B,1,1,Range,1,10500,0
11,305,104,5,4,Antenna  B,1,1,Range,1,10500,0
12,301,104,5,4,Antenna  B,1,1,Range,1,10500,0
